Impressions per session,Frequency,,,,,,,
1,7246,,,,,,,
2,6909,,,,,,,
3,6132,,,,,,,
4,5019,,,,,,,
5,4184,,,,,,,
6,3730,,,,,,,
7,3080,,,,,,,
8,2545,,,,,,,
9,2217,,,,,,,
10,1879,,,,,,,
11,1549,,,,,,,
12,1362,,,,,,,
13,1145,,,,,,,
14,991,,,,,,,
15,844,,,,,,,
16,739,,,,,,,
17,670,,,,,,,
18,559,,,,,,,
19,488,,,,,,,
20,415,,,,,,,
21,381,,,,,,,
22,292,,,,,,,
23,319,,,,,,,
24,261,,,,,,,
25,210,,,,,,,
26,195,,,,,,,
27,178,,,,,,,
28,163,,,,,,,
29,144,,,,,,,
30,118,,,,,,,
31,119,,,,,,,
32,106,,,,,,,
33,76,,,,,,,
34,78,,,,,,,
35,69,,,,,,,
36,58,,,,,,,
37,62,,,,,,,
38,57,,,,,,,
39,50,,,,,,,
40,41,,,,,,,
41,46,,,,,,,
42,44,,,,,,,
43,35,,,,,,,
44,35,,,,,,,
45,32,,,,,,,
46,31,,,,,,,
47,24,,,,,,,
48,18,,,,,,,
49,17,,,,,,,
50,17,,,,,,,
51,19,,,,,,,
52,14,,,,,,,
53,13,,,,,,,
54,18,,,,,,,
55,7,,,,,,,
56,14,,,,,,,
57,13,,,,,,,
58,10,,,,,,,
59,17,,,,,,,
60,11,,,,,,,
61,14,,,,,,,
62,8,,,,,,,
63,5,,,,,,,
64,5,,,,,,,
65,5,,,,,,,
66,4,,,,,,,
67,7,,,,,,,
68,3,,,,,,,
69,4,,,,,,,
70,4,,,,,,,
71,2,,,,,,,
72,5,,,,,,,
73,2,,,,,,,
74,2,,,,,,,
75,4,,,,,,,
76,3,,,,,,,
77,3,,,,,,,
78,2,,,,,,,
79,2,,,,,,,
80,2,,,,,,,
81,3,,,,,,,
82,3,,,,,,,
83,2,,,,,,,
84,2,,,,,,,
85,1,,,,,,,
86,3,,,,,,,
87,2,,,,,,,
88,3,,,,,,,
91,5,,,,,,,
93,3,,,,,,,
94,2,,,,,,,
95,2,,,,,,,
97,2,,,,,,,
98,1,,,,,,,
100,2,,,,,,,
101,1,,,,,,,
104,2,,,,,,,
105,1,,,,,,,
106,2,,,,,,,
107,1,,,,,,,
109,1,,,,,,,
110,1,,,,,,,
113,1,,,,,,,
115,2,,,,,,,
117,1,,,,,,,
119,1,,,,,,,
122,1,,,,,,,
127,1,,,,,,,
128,1,,,,,,,
132,2,,,,,,,
134,1,,,,,,,
137,1,,,,,,,
144,1,,,,,,,
148,1,,,,,,,
149,1,,,,,,,
152,1,,,,,,,
155,1,,,,,,,
159,1,,,,,,,
183,1,,,,,,,
